J,T
1,0
1,1
1.0031,2
1.0051,3
1.007,4
1.0091,5
1.0112,6
1.0134,7
1.0157,8
1.0181,9
1.0206,10
1.0232,11
1.0259,12
1.0287,13
1.0316,14
1.0347,15
1.038,16
1.0414,17
1.0451,18
1.0489,19
1.053,20
1.0574,21
1.0585,22
1.1072,23
2.7017,24
5.4456,25
6.6415,26
5.6582,27
3.9386,28
2.69,29
2.1188,30
1.991,31
2.0693,32
2.1712,33
2.1782,34
2.0698,35
1.9013,36
1.7382,37
1.6152,38
1.5345,39
1.4821,40
1.4416,41
1.4019,42
1.3594,43
1.3158,44
1.2746,45
1.2385,46
1.2081,47
1.1826,48
1.1607,49
1.1412,50
1.1235,51
1.1073,52
1.0927,53
1.0797,54
1.0683,55
1.0583,56
1.0495,57
1.0417,58
1.0348,59
1.0287,60
1.0232,61
1.0185,62
1.0142,63
1.0106,64
1.0073,65
1.0045,66
1.002,67
0.99988,68
0.99801,69
0.99639,70
0.995,71
0.9938,72
0.99277,73
0.9919,74
0.99117,75
0.99056,76
0.99005,77
0.98964,78
0.98931,79
0.98906,80
0.98887,81
0.98873,82
0.98864,83
0.9886,84
0.98859,85
0.98862,86
0.98867,87
0.98874,88
0.98884,89
0.98895,90
0.98908,91
0.98922,92
0.98937,93
0.98953,94
0.9897,95
0.98987,96
0.99005,97
0.99022,98
0.9904,99
0.99059,100
0.99077,101
0.99095,102
0.99113,103
0.99131,104
0.99149,105
0.99167,106
0.99184,107
0.99202,108
0.99219,109
0.99235,110
0.99252,111
0.99268,112
0.99284,113
0.99299,114
0.99315,115
0.9933,116
0.99344,117
0.99359,118
0.99373,119
0.99386,120
0.994,121
0.99413,122
0.99426,123
0.99438,124
0.9945,125
0.99462,126
0.99474,127
0.99485,128
0.99496,129
0.99507,130
0.99518,131
0.99528,132
0.99538,133
0.99548,134
0.99558,135
0.99567,136
0.99577,137
0.99586,138
0.99594,139
0.99603,140
0.99611,141
0.9962,142
0.99628,143
0.99636,144
0.99643,145
0.99651,146
0.99658,147
0.99665,148
0.99672,149
0.99679,150
0.99686,151
0.99692,152
0.99698,153
0.99705,154
0.99711,155
0.99717,156
0.99723,157
0.99728,158
0.99734,159
0.99739,160
0.99745,161
0.9975,162
0.99755,163
0.9976,164
0.99765,165
0.9977,166
0.99774,167
0.99779,168
0.99783,169
0.99788,170
0.99792,171
0.99796,172
0.99801,173
0.99805,174
0.99809,175
0.99812,176
0.99816,177
0.9982,178
0.99823,179
0.99827,180
0.99831,181
0.99834,182
0.99837,183
0.99841,184
0.99844,185
0.99847,186
0.9985,187
0.99853,188
0.99856,189
0.99859,190
0.99862,191
0.99864,192
0.99867,193
0.9987,194
0.99872,195
0.99875,196
0.99877,197
0.9988,198
0.99882,199
0.99885,200
