J,T
0.88472,1
0.9617,2
1.2,3
1.5131,4
1.8083,5
2.0564,6
2.3021,7
2.6029,8
2.9267,9
3.2807,10
3.6911,11
4.2012,12
4.7467,13
5.3497,14
5.9975,15
6.7302,16
7.5438,17
8.4192,18
9.3556,19
10.358,20
11.453,21
8.7343,22
3.153,23
4.5096,24
12.899,25
23.58,26
31.38,27
33.798,28
32.169,29
28.897,30
25.38,31
22.441,32
20.447,33
19.372,34
18.726,35
18.227,36
17.755,37
17.342,38
16.79,39
15.909,40
14.81,41
13.782,42
12.987,43
12.393,44
11.907,45
11.387,46
10.799,47
10.058,48
9.4638,49
9.0634,50
8.754,51
8.4839,52
8.1224,53
7.7325,54
7.3493,55
6.9392,56
6.5396,57
6.1712,58
5.7786,59
5.3839,60
5.0851,61
4.8595,62
4.6964,63
4.5379,64
4.2638,65
3.9753,66
3.7353,67
3.5363,68
3.3801,69
3.2781,70
3.1852,71
3.0803,72
2.9263,73
2.7554,74
2.6171,75
2.5018,76
2.3896,77
2.3021,78
2.248,79
2.1687,80
2.0754,81
2.0022,82
1.9301,83
1.8339,84
1.7437,85
1.6988,86
1.6109,87
1.5004,88
1.394,89
1.3322,90
1.3422,91
1.3726,92
1.3801,93
1.3426,94
1.2845,95
1.2383,96
1.2238,97
1.2218,98
1.2277,99
1.1997,100
1.1762,101
1.1525,102
1.0959,103
1.076,104
1.0579,105
1.0576,106
1.0793,107
1.0806,108
1.0636,109
1.0583,110
1.0511,111
1.0665,112
1.0796,113
1.0012,114
0.9414,115
0.90558,116
0.89045,117
0.95061,118
1.0323,119
1.06,120
1.0695,121
1.0454,122
1.039,123
1.0518,124
1.0411,125
1.0356,126
1.0207,127
1.0042,128
0.98446,129
0.96317,130
0.96282,131
0.99778,132
1.096,133
1.1749,134
1.1572,135
1.1228,136
1.1109,137
1.1048,138
1.1307,139
1.1295,140
1.117,141
1.1102,142
1.0941,143
1.0825,144
1.06,145
1.0404,146
1.066,147
1.0979,148
1.1164,149
1.1097,150
1.0814,151
1.0906,152
1.1064,153
1.1203,154
1.1152,155
1.0938,156
1.0662,157
1.0719,158
1.0575,159
1.0684,160
1.1097,161
1.1618,162
1.1911,163
1.1846,164
1.2005,165
1.1958,166
1.1697,167
1.141,168
1.145,169
1.157,170
1.1594,171
1.1991,172
1.2904,173
1.3492,174
1.369,175
1.3547,176
1.3241,177
1.3093,178
1.2983,179
1.2952,180
1.3032,181
1.2958,182
1.3002,183
1.3085,184
1.3337,185
1.3591,186
1.3821,187
1.4175,188
1.4283,189
1.4041,190
1.3174,191
1.2657,192
1.2358,193
1.2345,194
1.2693,195
1.2835,196
1.3084,197
1.3294,198
1.3239,199
1.3107,200
