J,T
1,0
1,1
1.0133,2
1.0532,3
1.1197,4
1.2129,5
1.3329,6
1.4796,7
1.6533,8
1.854,9
2.0819,10
2.3372,11
2.62,12
2.9305,13
3.2691,14
3.6361,15
4.0317,16
4.4564,17
4.9105,18
5.3947,19
5.9093,20
6.4551,21
2.6449,22
8.0814,23
27.342,24
37.865,25
31.522,26
19.014,27
10.111,28
6.2705,29
5.4737,30
6.047,31
6.8468,32
7.0585,33
6.4846,34
5.4829,35
4.5075,36
3.7921,37
3.3459,38
3.0758,39
2.8789,40
2.6871,41
2.4775,42
2.2607,43
2.0581,44
1.8844,45
1.7428,46
1.6282,47
1.533,48
1.4508,49
1.3782,50
1.314,51
1.2579,52
1.2101,53
1.1699,54
1.1365,55
1.1087,56
1.0857,57
1.0667,58
1.0511,59
1.0385,60
1.0285,61
1.0209,62
1.0152,63
1.0111,64
1.0084,65
1.0069,66
1.0064,67
1.0067,68
1.0077,69
1.0092,70
1.0111,71
1.0134,72
1.0159,73
1.0186,74
1.0214,75
1.0243,76
1.0273,77
1.0302,78
1.0331,79
1.036,80
1.0387,81
1.0414,82
1.0439,83
1.0464,84
1.0487,85
1.0509,86
1.0529,87
1.0548,88
1.0566,89
1.0582,90
1.0597,91
1.0611,92
1.0623,93
1.0634,94
1.0644,95
1.0653,96
1.066,97
1.0667,98
1.0672,99
1.0677,100
1.068,101
1.0683,102
1.0684,103
1.0685,104
1.0685,105
1.0685,106
1.0684,107
1.0682,108
1.068,109
1.0677,110
1.0673,111
1.0669,112
1.0665,113
1.066,114
1.0655,115
1.065,116
1.0644,117
1.0638,118
1.0632,119
1.0625,120
1.0618,121
1.0611,122
1.0604,123
1.0597,124
1.059,125
1.0582,126
1.0575,127
1.0567,128
1.0559,129
1.0552,130
1.0544,131
1.0536,132
1.0528,133
1.052,134
1.0513,135
1.0505,136
1.0497,137
1.0489,138
1.0481,139
1.0474,140
1.0466,141
1.0458,142
1.0451,143
1.0443,144
1.0436,145
1.0429,146
1.0421,147
1.0414,148
1.0407,149
1.04,150
1.0393,151
1.0386,152
1.0379,153
1.0372,154
1.0366,155
1.0359,156
1.0353,157
1.0346,158
1.034,159
1.0334,160
1.0328,161
1.0322,162
1.0316,163
1.031,164
1.0304,165
1.0299,166
1.0293,167
1.0288,168
1.0282,169
1.0277,170
1.0272,171
1.0267,172
1.0261,173
1.0257,174
1.0252,175
1.0247,176
1.0242,177
1.0238,178
1.0233,179
1.0229,180
1.0224,181
1.022,182
1.0216,183
1.0211,184
1.0207,185
1.0203,186
1.0199,187
1.0196,188
1.0192,189
1.0188,190
1.0184,191
1.0181,192
1.0177,193
1.0174,194
1.0171,195
1.0167,196
1.0164,197
1.0161,198
1.0158,199
1.0155,200
