J,T
1,0
1,1
1.0133,2
1.0532,3
1.1197,4
1.2129,5
1.3329,6
1.4796,7
1.6533,8
1.854,9
2.0819,10
2.3372,11
2.62,12
2.9305,13
3.2691,14
3.6361,15
4.0317,16
4.4564,17
4.9105,18
5.3947,19
5.9093,20
6.4551,21
6.941,22
2.7496,23
10.395,24
34.168,25
46.695,26
38.672,27
23.309,28
12.411,29
7.6979,30
6.7167,31
7.4132,32
8.371,33
8.5952,34
7.8585,35
6.6066,36
5.3948,37
4.5058,38
3.9487,39
3.608,40
3.3574,41
3.1134,42
2.8486,43
2.5762,44
2.3224,45
2.105,46
1.9277,47
1.7841,48
1.6645,49
1.5614,50
1.4704,51
1.3899,52
1.3199,53
1.2602,54
1.21,55
1.1683,56
1.1338,57
1.1052,58
1.0816,59
1.0623,60
1.0468,61
1.0346,62
1.0252,63
1.0183,64
1.0135,65
1.0103,66
1.0087,67
1.0083,68
1.0088,69
1.0102,70
1.0123,71
1.0149,72
1.0179,73
1.0212,74
1.0248,75
1.0284,76
1.0322,77
1.036,78
1.0398,79
1.0435,80
1.0472,81
1.0507,82
1.0541,83
1.0574,84
1.0605,85
1.0635,86
1.0663,87
1.0689,88
1.0713,89
1.0735,90
1.0756,91
1.0775,92
1.0792,93
1.0808,94
1.0822,95
1.0834,96
1.0845,97
1.0855,98
1.0863,99
1.087,100
1.0875,101
1.0879,102
1.0882,103
1.0884,104
1.0885,105
1.0885,106
1.0885,107
1.0883,108
1.088,109
1.0877,110
1.0873,111
1.0869,112
1.0863,113
1.0858,114
1.0851,115
1.0845,116
1.0838,117
1.083,118
1.0822,119
1.0814,120
1.0806,121
1.0797,122
1.0788,123
1.0779,124
1.0769,125
1.076,126
1.075,127
1.074,128
1.0731,129
1.0721,130
1.0711,131
1.0701,132
1.069,133
1.068,134
1.067,135
1.066,136
1.065,137
1.064,138
1.063,139
1.062,140
1.061,141
1.06,142
1.059,143
1.058,144
1.0571,145
1.0561,146
1.0552,147
1.0542,148
1.0533,149
1.0524,150
1.0515,151
1.0506,152
1.0497,153
1.0488,154
1.0479,155
1.0471,156
1.0462,157
1.0454,158
1.0446,159
1.0438,160
1.043,161
1.0422,162
1.0414,163
1.0406,164
1.0399,165
1.0392,166
1.0384,167
1.0377,168
1.037,169
1.0363,170
1.0356,171
1.035,172
1.0343,173
1.0336,174
1.033,175
1.0324,176
1.0318,177
1.0312,178
1.0306,179
1.03,180
1.0294,181
1.0288,182
1.0283,183
1.0277,184
1.0272,185
1.0267,186
1.0262,187
1.0257,188
1.0252,189
1.0247,190
1.0242,191
1.0237,192
1.0233,193
1.0228,194
1.0224,195
1.0219,196
1.0215,197
1.0211,198
1.0207,199
1.0203,200
