J,T
1.1237,1
0.91904,2
0.48301,3
0.25073,4
0.23014,5
0.17775,6
0.10079,7
0.081169,8
0.0853,9
0.070346,10
0.063606,11
0.070507,12
0.062853,13
0.05505,14
0.059879,15
0.0612,16
0.063317,17
0.066216,18
0.068029,19
0.069933,20
0.073669,21
0.13332,22
0.6328,23
1.6745,24
2.8782,25
3.7838,26
3.9939,27
3.6739,28
3.1784,29
2.7131,30
2.3504,31
2.1265,32
2.0557,33
2.0801,34
2.0946,35
2.0891,36
2.0688,37
2.0218,38
1.9259,39
1.8201,40
1.7215,41
1.6541,42
1.626,43
1.5831,44
1.5547,45
1.518,46
1.4916,47
1.458,48
1.4013,49
1.3432,50
1.2969,51
1.2735,52
1.2663,53
1.2364,54
1.1989,55
1.1493,56
1.1093,57
1.0999,58
1.1042,59
1.1174,60
1.1542,61
1.1655,62
1.1333,63
1.0967,64
1.0818,65
1.0601,66
1.0373,67
1.0279,68
1.0317,69
1.0574,70
1.0732,71
1.0877,72
1.1249,73
1.1216,74
1.1331,75
1.0985,76
1.0564,77
1.0547,78
1.0397,79
1.0386,80
1.0874,81
1.0969,82
1.0868,83
1.0649,84
1.0362,85
1.029,86
0.98376,87
0.99202,88
1.0113,89
1.0188,90
1.0667,91
1.0796,92
1.0341,93
1.005,94
1.0001,95
1.015,96
1.041,97
1.042,98
1.0527,99
1.0204,100
0.96708,101
0.95027,102
0.98886,103
1.0498,104
1.079,105
1.0711,106
1.0404,107
1.0355,108
1.0418,109
1.0277,110
1.0598,111
1.0798,112
1.0561,113
1.0584,114
1.0448,115
1.0466,116
1.0246,117
0.99776,118
0.99005,119
1.0022,120
1.0368,121
1.0727,122
1.1391,123
1.1329,124
1.1032,125
1.0896,126
1.0881,127
1.0865,128
1.0729,129
1.0905,130
1.1164,131
1.1265,132
1.0972,133
1.0459,134
1.013,135
1.0275,136
1.0345,137
1.0035,138
0.9928,139
1.0135,140
1.0824,141
1.1288,142
1.1341,143
1.12,144
1.1371,145
1.1154,146
1.0895,147
1.031,148
0.98631,149
1.0164,150
1.0705,151
1.1098,152
1.1017,153
1.0906,154
1.1053,155
1.1014,156
1.0681,157
1.0636,158
1.0602,159
1.0824,160
1.0583,161
1.0135,162
0.99523,163
1.0421,164
1.0811,165
1.0874,166
1.0705,167
1.0595,168
1.0633,169
1.0522,170
1.0076,171
1.0023,172
1.0393,173
1.073,174
1.1092,175
1.108,176
1.0794,177
1.0637,178
1.069,179
1.1267,180
1.1654,181
1.1858,182
1.2043,183
1.1944,184
1.191,185
1.1668,186
1.1159,187
1.0732,188
1.0485,189
1.0319,190
1.0447,191
1.0677,192
1.0886,193
1.0908,194
1.0889,195
1.0727,196
1.0691,197
1.0541,198
1.0295,199
1.0372,200
