J,T
0.89305,1
0.92912,2
1.1433,3
1.4439,4
1.7848,5
2.1271,6
2.4998,7
2.9005,8
3.3752,9
3.9008,10
4.4694,11
5.1361,12
5.8751,13
6.692,14
7.5926,15
8.5987,16
9.7086,17
10.886,18
12.155,19
13.507,20
14.866,21
15.795,22
12.041,23
5.3245,24
6.2533,25
15.568,26
27.635,27
37.332,28
42.48,29
43.951,30
43.227,31
40.992,32
38.109,33
35.613,34
34.07,35
33.522,36
33.67,37
34.404,38
35.032,39
35.218,40
34.479,41
33.005,42
31.13,43
29.595,44
28.775,45
28.563,46
28.32,47
27.86,48
26.936,49
25.725,50
24.439,51
23.647,52
23.166,53
22.64,54
22.011,55
21.149,56
20.16,57
19.073,58
18.069,59
17.121,60
16.404,61
15.843,62
15.291,63
14.657,64
13.79,65
12.857,66
12.059,67
11.442,68
10.994,69
10.562,70
10.117,71
9.6317,72
9.0732,73
8.4731,74
7.9411,75
7.5759,76
7.3014,77
7.0775,78
6.8881,79
6.5751,80
6.3721,81
6.1227,82
5.9176,83
5.7508,84
5.6343,85
5.4764,86
5.2159,87
4.899,88
4.5916,89
4.3565,90
4.2333,91
4.1507,92
4.0524,93
3.9466,94
3.7833,95
3.6059,96
3.4334,97
3.3111,98
3.1855,99
3.0737,100
2.9879,101
2.897,102
2.8382,103
2.767,104
2.6909,105
2.5679,106
2.4653,107
2.3787,108
2.2947,109
2.1989,110
2.0916,111
2.0477,112
2.0366,113
2.048,114
2.04,115
1.9887,116
1.9201,117
1.848,118
1.7998,119
1.7843,120
1.7848,121
1.7815,122
1.7327,123
1.6689,124
1.6078,125
1.5657,126
1.5567,127
1.5727,128
1.5605,129
1.5108,130
1.4803,131
1.4528,132
1.4261,133
1.3953,134
1.3832,135
1.3584,136
1.3382,137
1.3204,138
1.2871,139
1.2686,140
1.2521,141
1.2478,142
1.2434,143
1.2403,144
1.2178,145
1.1931,146
1.2087,147
1.2357,148
1.2503,149
1.2654,150
1.2624,151
1.2553,152
1.2277,153
1.2068,154
1.1985,155
1.1931,156
1.2436,157
1.2848,158
1.2795,159
1.2441,160
1.2186,161
1.1975,162
1.1641,163
1.1387,164
1.125,165
1.1331,166
1.1464,167
1.168,168
1.1904,169
1.2109,170
1.2436,171
1.2741,172
1.2938,173
1.2598,174
1.198,175
1.174,176
1.1696,177
1.1668,178
1.1611,179
1.164,180
1.1617,181
1.1644,182
1.1692,183
1.1835,184
1.2013,185
1.2229,186
1.2398,187
1.272,188
1.2819,189
1.2635,190
1.2489,191
1.2328,192
1.2451,193
1.2551,194
1.2723,195
1.2662,196
1.2364,197
1.2269,198
1.2363,199
1.2295,200
