J,T
1.0277,1
0.81689,2
0.43056,3
0.20683,4
0.14542,5
0.10559,6
0.073251,7
0.066987,8
0.061285,9
0.055587,10
0.053282,11
0.053247,12
0.048206,13
0.046807,14
0.046729,15
0.046001,16
0.045943,17
0.047624,18
0.052274,19
0.053299,20
0.054529,21
0.087024,22
0.22772,23
0.67981,24
1.7416,25
2.897,26
3.5841,27
3.6646,28
3.2017,29
2.5879,30
2.1039,31
1.8344,32
1.7482,33
1.7411,34
1.7462,35
1.7413,36
1.7241,37
1.6797,38
1.5978,39
1.4882,40
1.408,41
1.3733,42
1.371,43
1.3545,44
1.3258,45
1.2767,46
1.2304,47
1.1677,48
1.1225,49
1.1044,50
1.1014,51
1.1016,52
1.0855,53
1.0732,54
1.083,55
1.0744,56
1.0452,57
1.0091,58
0.97996,59
0.96002,60
0.95134,61
0.97152,62
1.0056,63
1.0186,64
1.0338,65
1.0277,66
0.9941,67
0.98063,68
0.95544,69
0.92954,70
0.93404,71
0.94397,72
0.97799,73
0.98587,74
0.99498,75
1.0245,76
1.0539,77
1.0687,78
1.0399,79
0.99718,80
0.97387,81
0.94935,82
0.93354,83
0.92794,84
0.94984,85
0.99481,86
0.99699,87
0.97378,88
0.95163,89
0.93,90
0.94811,91
0.98888,92
1.0285,93
1.0444,94
1.0513,95
1.0514,96
1.0077,97
0.95743,98
0.9393,99
0.95862,100
0.9815,101
0.9966,102
1.0087,103
1.0135,104
1.0097,105
0.99056,106
0.9647,107
0.94189,108
0.93822,109
0.94632,110
0.95687,111
0.96919,112
0.97423,113
0.98639,114
0.98136,115
0.99729,116
1.033,117
1.0529,118
1.0468,119
1.0306,120
1.0028,121
0.99853,122
0.98897,123
0.97861,124
0.96331,125
0.95869,126
0.94293,127
0.92965,128
0.91569,129
0.91629,130
0.9483,131
0.98643,132
0.9959,133
0.97681,134
0.9443,135
0.93015,136
0.92914,137
0.93757,138
0.92391,139
0.9243,140
0.94773,141
0.97076,142
0.95023,143
0.96806,144
1.0032,145
1.0343,146
1.0252,147
0.97997,148
0.94066,149
0.91132,150
0.92718,151
0.97706,152
1.0298,153
1.0316,154
1.0163,155
1.0147,156
0.99834,157
1.0027,158
1.0057,159
1.0045,160
1.0108,161
1.0167,162
1.0133,163
1.0139,164
1.0169,165
1.0169,166
1.0241,167
1.0263,168
1.0204,169
1.0146,170
1.0298,171
1.0436,172
1.0291,173
1.0166,174
0.99771,175
0.97449,176
0.96725,177
0.96882,178
0.96492,179
0.99879,180
1.0082,181
0.9866,182
0.94348,183
0.92244,184
0.97017,185
1.0242,186
1.057,187
1.056,188
1.001,189
0.95494,190
0.90683,191
0.89143,192
0.88999,193
0.90991,194
0.93961,195
0.95733,196
0.98432,197
1.0244,198
1.0325,199
1.0325,200
