BATCH,ID,STRAT,MISSES,HITS
7,12,KZ,10,103
7,6,KZ,10,51
7,19,KZ,10,106
7,5,KZ,10,67
7,2,KZ,10,103
7,33,KZ,10,76
7,4,KZ,10,86
7,24,KZ,10,72
7,20,KZ,10,107
7,36,KZ,10,59
7,9,KZ,10,38
7,13,KZ,10,87
7,15,KZ,10,53
7,7,KZ,10,50
7,31,KZ,10,92
7,34,KZ,10,60
7,23,KZ,10,73
7,25,KZ,10,56
7,26,KZ,10,57
7,18,KZ,10,51
7,11,KZ,10,104
7,10,KZ,10,105
7,32,KZ,10,75
7,22,KZ,10,91
7,8,KZ,10,47
7,17,KZ,10,52
7,1,KZ,10,104
7,21,KZ,10,107
7,30,KZ,10,92
7,27,KZ,10,57
7,3,KZ,10,86
7,28,KZ,10,108
7,14,KZ,10,70
7,35,KZ,10,60
7,29,KZ,10,108
7,16,KZ,10,52
