BATCH,ID,STRAT,MISSES,HITS
7,12,SH,10,58
7,6,SH,10,25
7,19,SH,10,61
7,5,SH,10,32
7,2,SH,10,58
7,33,SH,10,37
7,4,SH,10,49
7,24,SH,10,36
7,20,SH,10,61
7,36,SH,10,37
7,9,SH,10,22
7,13,SH,10,50
7,15,SH,10,34
7,7,SH,10,24
7,31,SH,10,53
7,34,SH,10,38
7,23,SH,10,44
7,25,SH,10,35
7,26,SH,10,35
7,18,SH,10,25
7,11,SH,10,58
7,10,SH,10,60
7,32,SH,10,45
7,22,SH,10,53
7,8,SH,10,23
7,17,SH,10,26
7,1,SH,10,58
7,21,SH,10,61
7,30,SH,10,62
7,27,SH,10,35
7,3,SH,10,50
7,28,SH,10,61
7,14,SH,10,40
7,35,SH,10,38
7,29,SH,10,61
7,16,SH,10,26
