BATCH,ID,STRAT,MISSES,HITS
7,12,SZ,10,104
7,6,SZ,10,51
7,19,SZ,10,107
7,5,SZ,10,67
7,2,SZ,10,104
7,33,SZ,10,76
7,4,SZ,10,86
7,24,SZ,10,73
7,20,SZ,10,108
7,36,SZ,10,59
7,9,SZ,10,38
7,13,SZ,10,88
7,15,SZ,10,54
7,7,SZ,10,50
7,31,SZ,10,92
7,34,SZ,10,60
7,23,SZ,10,74
7,25,SZ,10,57
7,26,SZ,10,58
7,18,SZ,10,51
7,11,SZ,10,106
7,10,SZ,10,106
7,32,SZ,10,76
7,22,SZ,10,91
7,8,SZ,10,46
7,17,SZ,10,53
7,1,SZ,10,104
7,21,SZ,10,107
7,30,SZ,10,93
7,27,SZ,10,58
7,3,SZ,10,87
7,28,SZ,10,109
7,14,SZ,10,70
7,35,SZ,10,60
7,29,SZ,10,108
7,16,SZ,10,53
